problem,C++,C++Link,Java,JavaLink,Python3,Python3Link
"Excel Sheet Column Number ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Excel\%20Sheet\%20Column\%20Number.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Excel\%20Sheet\%20Column\%20Number.java","",""
"Excel Sheet Column Title ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Excel\%20Sheet\%20Column\%20Title.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Excel\%20Sheet\%20Column\%20Title.java","",""
"Factor Combinations ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Factor\%20Combinations.cpp","","","",""
"Factorial Trailing Zeroes ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Factorial\%20Trailing\%20Zeroes.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Factorial\%20Trailing\%20Zeroes.java","",""
"Find Median from Data Stream ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Find\%20Median\%20from\%20Data\%20Stream.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Find\%20Median\%20from\%20Data\%20Stream.java","",""
"Find Minimum in Rotated Sorted Array ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Find\%20Minimum\%20in\%20Rotated\%20Sorted\%20Array.cpp","","","",""
"Find Minimum in Rotated Sorted Array II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Find\%20Minimum\%20in\%20Rotated\%20Sorted\%20Array\%20II.cpp","","","",""
"Find Peak Element ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Find\%20Peak\%20Element.cpp","","","",""
"Find the Celebrity ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Find\%20the\%20Celebrity.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Find\%20the\%20Celebrity.java","",""
"Find the Duplicate Number ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Find\%20the\%20Duplicate\%20Number.cpp","","","",""
"First Bad Version ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/First\%20Bad\%20Version.cpp","","","",""
"First Bad Version.c","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/First\%20Bad\%20Version.c","","","",""
"First Missing Positive ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/First\%20Missing\%20Positive.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/First\%20Missing\%20Positive.java","",""
"First Unique Character in a String ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/First\%20Unique\%20Character\%20in\%20a\%20String.java","",""
"Fizz Buzz ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Fizz\%20Buzz.java","",""
"Flatten 2D Vector ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Flatten\%202D\%20Vector.cpp","","","",""
"Flatten Binary Tree to Linked List ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Flatten\%20Binary\%20Tree\%20to\%20Linked\%20List.cpp","","","",""
"Flip Game ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Flip\%20Game.cpp","","","",""
"Flip Game II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Flip\%20Game\%20II.cpp","","","",""
"Fraction to Recurring Decimal ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Fraction\%20to\%20Recurring\%20Decimal.cpp","","","",""
"Game of Life ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Game\%20of\%20Life.cpp","","","",""
"Gas Station ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Gas\%20Station.cpp","","","",""
"Generate Parentheses ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Generate\%20Parentheses.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Generate\%20Parentheses.java","",""
"Graph Valid Tree ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Graph\%20Valid\%20Tree.cpp","","","",""
"Group Anagrams ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Group\%20Anagrams.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Group\%20Anagrams.java","",""
"Group Shifted Strings ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Group\%20Shifted\%20Strings.cpp","","","",""
"H-Index ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/H-Index.cpp","","","",""
"H-Index II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/H-Index\%20II.cpp","","","",""
"Happy Number ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Happy\%20Number.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Happy\%20Number.java","",""
"House Robber ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/House\%20Robber.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/House\%20Robber.java","",""
"House Robber II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/House\%20Robber\%20II.cpp","","","",""
"House Robber III ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/House\%20Robber\%20III.cpp","","","",""
"Implement Queue using Stacks ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Implement\%20Queue\%20using\%20Stacks.cpp","","","",""
"Implement Stack using Queues ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Implement\%20Stack\%20using\%20Queues.cpp","","","",""
"Implement Trie (Prefix Tree) ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Implement\%20Trie\%20(Prefix\%20Tree).cpp","","","",""
"Implement strStr() ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Implement\%20strStr().cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Implement\%20strStr().java","",""
"Inorder Successor in BST ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Inorder\%20Successor\%20in\%20BST.cpp","","","",""
"Insert Delete GetRandom O(1) ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Insert\%20Delete\%20GetRandom\%20O(1).java","",""
"Insert Interval ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Insert\%20Interval.cpp","","","",""
"Insertion Sort List ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Insertion\%20Sort\%20List.cpp","","","",""
"Integer to English Words ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Integer\%20to\%20English\%20Words.cpp","","","",""
"Integer to Roman ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Integer\%20to\%20Roman.cpp","","","",""
"Interleaving String ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Interleaving\%20String.cpp","","","",""
"Intersection of Two Arrays II ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Intersection\%20of\%20Two\%20Arrays\%20II.java","",""
"Intersection of Two Linked Lists ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Intersection\%20of\%20Two\%20Linked\%20Lists.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Intersection\%20of\%20Two\%20Linked\%20Lists.java","",""
"Invert Binary Tree ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Invert\%20Binary\%20Tree.cpp","","","",""
"Isomorphic Strings ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Isomorphic\%20Strings.cpp","","","",""
"Jump Game ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Jump\%20Game.cpp","","","",""
"Jump Game II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Jump\%20Game\%20II.cpp","","","",""
"Kth Largest Element in an Array ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Kth\%20Largest\%20Element\%20in\%20an\%20Array.cpp","","","",""
"Kth Smallest Element in a BST ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Kth\%20Smallest\%20Element\%20in\%20a\%20BST.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Kth\%20Smallest\%20Element\%20in\%20a\%20BST.java","",""
"Kth Smallest Element in a Sorted Matrix ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Kth\%20Smallest\%20Element\%20in\%20a\%20Sorted\%20Matrix.java","",""
"LRU Cache ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/LRU\%20Cache.cpp","","","",""
"Largest BST Subtree ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Largest\%20BST\%20Subtree.cpp","","","",""
"Largest Number ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Largest\%20Number.cpp","","","",""
"Largest Rectangle in Histogram ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Largest\%20Rectangle\%20in\%20Histogram.cpp","","","",""
"Length of Last Word ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Length\%20of\%20Last\%20Word.cpp","","","",""
"Letter Combinations of a Phone Number ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Letter\%20Combinations\%20of\%20a\%20Phone\%20Number.cpp","","","",""
"Linked List Cycle ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Linked\%20List\%20Cycle.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Linked\%20List\%20Cycle.java","",""
"Logger Rate Limiter ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Logger\%20Rate\%20Limiter.java","",""
"Longest Common Prefix ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Longest\%20Common\%20Prefix.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Longest\%20Common\%20Prefix.java","",""
"Longest Consecutive Sequence ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Longest\%20Consecutive\%20Sequence.cpp","","","",""
"Longest Increasing Path in a Matrix ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Longest\%20Increasing\%20Path\%20in\%20a\%20Matrix.cpp","","","",""
"Longest Increasing Subsequence ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Longest\%20Increasing\%20Subsequence.cpp","","","",""
"Longest Palindromic Subsequence ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Longest\%20Palindromic\%20Subsequence.java","",""
"Longest Palindromic Substring ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Longest\%20Palindromic\%20Substring.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Longest\%20Palindromic\%20Substring.java","",""
"Longest Substring Without Repeating Characters ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Longest\%20Substring\%20Without\%20Repeating\%20Characters.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Longest\%20Substring\%20Without\%20Repeating\%20Characters.java","",""
"Longest Substring with At Least K Repeating Characters ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Longest\%20Substring\%20with\%20At\%20Least\%20K\%20Repeating\%20Characters.java","",""
"Longest Substring with At Most K Distinct Characters ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Longest\%20Substring\%20with\%20At\%20Most\%20K\%20Distinct\%20Characters.java","",""
"Longest Substring with At Most Two Distinct Characters ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Longest\%20Substring\%20with\%20At\%20Most\%20Two\%20Distinct\%20Characters.cpp","","","",""
"Longest Valid Parentheses ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Longest\%20Valid\%20Parentheses.cpp","","","",""
"Lowest Common Ancestor of a Binary Search Tree ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Lowest\%20Common\%20Ancestor\%20of\%20a\%20Binary\%20Search\%20Tree.cpp","","","",""
"Lowest Common Ancestor of a Binary Tree ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Lowest\%20Common\%20Ancestor\%20of\%20a\%20Binary\%20Tree.cpp","","","",""
"Majority Element ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Majority\%20Element.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Majority\%20Element.java","",""
"Majority Element II ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Majority\%20Element\%20II.cpp","","","",""
"Matchsticks to Square ","","","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Matchsticks\%20to\%20Square.java","",""
"Max Points on a Line ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Max\%20Points\%20on\%20a\%20Line.cpp","","","",""
"Maximal Rectangle ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Maximal\%20Rectangle.cpp","","","",""
"Maximal Square ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Maximal\%20Square.cpp","","","",""
"Maximum Depth of Binary Tree ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Maximum\%20Depth\%20of\%20Binary\%20Tree.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Maximum\%20Depth\%20of\%20Binary\%20Tree.java","",""
"Maximum Product Subarray ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Maximum\%20Product\%20Subarray.cpp","","","",""
"Maximum Size Subarray Sum Equals k ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Maximum\%20Size\%20Subarray\%20Sum\%20Equals\%20k.cpp","","","",""
"Maximum Subarray ","cpp","https://github.com/acgtun/leetcode/tree/master/algorithms/cpp/Maximum\%20Subarray.cpp","java","https://github.com/acgtun/leetcode/tree/master/algorithms/java/Maximum\%20Subarray.java","",""
